,symbol,price,market cap,exchange,currency,sector,industry,company_url
0,TWOU,5.95,6.11,NasdaqGS,USD,Consumer Defensive,Education & Training Services,https://2u.com
1,DDDX,0.0328,0.0301,Other OTC,USD,Technology,Computer Hardware,https://www.3dxindustries.com
2,MMM,101.56,102.29,NYSE,USD,Industrials,Conglomerates,https://www.3m.com
3,AMKBY,8.43,8.38,Other OTC,USD,Industrials,Marine Shipping,https://www.maersk.com
4,AMRK,35.78,35.38,NasdaqGS,USD,Financial Services,Capital Markets,https://www.amark.com
5,AAON,92.75,92.80,NasdaqGS,USD,Industrials,Building Products & Equipment,https://www.aaon.com
6,AAALY,34.65,34.65,Other OTC,USD,Financial Services,Banks—Regional,https://www.aareal-bank.com
7,AAN,9.89,9.54,NYSE,USD,Industrials,Rental & Leasing Services,https://www.aarons.com
8,ABQQ,0.0003,0.0004,Other OTC,USD,Technology,Software—Application,https://www.abqqs.com
9,ABTO,0.4900,0.4900,Other OTC,USD,Financial Services,Banks—Regional,https://www.alliancebanknc.com
10,ATTBF,0.0000,0.0000,Other OTC,USD,Healthcare,Drug Manufacturers—Specialty & Generic,https://www.abattis.com
11,ABB,33.02,33.11,NYSE,USD,Industrials,Electrical Equipment & Parts,https://global.abb/group/en
12,ABBY,0.0000,0.0000,Other OTC,USD,Communication Services,Internet Content & Information,https://abbyholdinggroup.com
13,ABT,104.93,104.21,NYSE,USD,Healthcare,Medical Devices,https://www.abbott.com
14,ABBV,161.55,160.80,NYSE,USD,Healthcare,Drug Manufacturers—General,https://www.abbvie.com
15,ABCE,0.0010,0.0010,Other OTC,USD,Technology,Solar,https://www.abcoenergy.com
16,ABMBF,0.0493,0.0493,Other OTC,USD,Basic Materials,Gold,https://www.abcourt.com
17,ABNAF,0.1020,0.0941,Other OTC,USD,Basic Materials,Gold,https://abenresources.com
18,ABEO,2.8100,2.8100,NasdaqCM,USD,Healthcare,Biotechnology,https://www.abeonatherapeutics.com
19,ANF,26.34,26.60,NYSE,USD,Consumer Cyclical,Apparel Retail,https://www.abercrombie.com
20,FCO,5.0000,5.0139,NYSE,USD,Financial Services,Asset Management,https://www.aberdeenfco.com
21,AABVF,0.0240,0.0240,Other OTC,USD,Financial Services,Asset Management,https://www.aberdeen.green
22,JEQ,5.40,5.44,NYSE,USD,Financial Services,Asset Management,https://www.aberdeenjeq.com
